X,budget,company,country,director,genre,gross,name,rating,release_month,runtime,score,star,votes,writer,year,budget_missing,region,direc_freq,comp_freq,season,id,afinn_score,sentiment_best,writer_count,writer_popularity,director_count,director_popularity,star_count,star_popularity
6261,20000000,Before The Door Pictures,USA,J.C. Chandor,Crime,5740310,A Most Violent Year,R,1,125,7,Oscar Isaac,52607,J.C. Chandor,2014,0,North America,1.3862943611198906,1.3862943611198906,Winter,6261,-3,-3,3,4,3,3,2,2
6262,19800000,21 Laps Entertainment,USA,Shawn Levy,Comedy,34290142,This Is Where I Leave You,R,9,103,6.6,Jason Bateman,59852,Jonathan Tropper,2014,0,North America,2.4849066497880004,0.6931471805599453,Fall,6262,-1,-1,1,3,11,5,11,4
6263,30000000,Screen Gems,USA,Scott Derrickson,Horror,30577122,Deliver Us from Evil,R,7,118,6.2,Eric Bana,58772,Scott Derrickson,2014,0,North America,1.791759469228055,3.8501476017100584,Summer,6263,-3,-3,3,4,5,4,7,3
6264,60000000,Village Roadshow Pictures,USA,Akiva Goldsman,Drama,22451,Winter's Tale,PG-13,2,118,6.2,Colin Farrell,45005,Akiva Goldsman,2014,0,North America,0.6931471805599453,1.3862943611198906,Winter,6264,0,0,4,5,1,1,16,5
6265,22000000,Scott Free Productions,UK,Rowan Joffe,Drama,2963012,Before I Go to Sleep,R,10,92,6.3,Nicole Kidman,56415,Rowan Joffe,2014,0,Western Europe,0.6931471805599453,1.6094379124341003,Fall,6265,0,0,3,4,1,1,19,5
6266,20000000,Bluegrass Films,USA,Shana Feste,Drama,23393765,Endless Love,PG-13,2,104,6.3,Gabriella Wilde,34658,Shana Feste,2014,0,North America,1.0986122886681098,1.6094379124341003,Winter,6266,3,3,2,4,2,2,1,2
6267,16800000,Gravier Productions,USA,Woody Allen,Comedy,10506939,Magic in the Moonlight,PG-13,8,97,6.6,Colin Firth,53136,Woody Allen,2014,0,North America,3.5263605246161616,1.3862943611198906,Summer,6267,0,0,32,5,33,5,12,4
6268,30000000,2929 Productions,Czech Republic,Susanne Bier,Drama,176305,Serena,R,2,109,5.4,Bradley Cooper,20668,Christopher Kyle,2014,0,Eastern Europe,1.9459101490553132,1.791759469228055,Winter,6268,0,0,1,3,6,4,9,4
6269,28000000,EuropaCorp,USA,McG,Action,30697999,3 Days to Kill,PG-13,2,117,6.2,Kevin Costner,75138,Adi Hasak,2014,0,North America,1.9459101490553132,3.367295829986474,Winter,6269,-3,-3,3,4,6,4,26,5
6270,22000000,Amblin Entertainment,USA,Lasse Hallström,Comedy,54240821,The Hundred-Foot Journey,PG,8,122,7.3,Helen Mirren,61319,Steven Knight,2014,0,North America,2.5649493574615367,2.302585092994046,Summer,6270,0,0,9,5,12,5,11,4
